demand_base_MW,renewable_scale,wind_peak_MW,solar_peak_MW,negative_hours,minimum_price_EUR_MWh,average_price_EUR_MWh
85,2.4,119.99999999999997,95.99999999999997,11,-10,0.4166666666666667
90,2.4,119.99999999999997,95.99999999999997,9,-10,2.9166666666666665
95,2.4,119.99999999999997,95.99999999999997,9,-10,2.9166666666666665
100,2.4,119.99999999999997,95.99999999999997,9,-10,4.583333333333333
105,2.4,119.99999999999997,95.99999999999997,7,-10,8.75
110,2.4,119.99999999999997,95.99999999999997,7,-10,8.75
115,2.4,119.99999999999997,95.99999999999997,5,-10,16.25
120,2.4,119.99999999999997,95.99999999999997,4,-10,20.833333333333332
30,2.5,124.99999999999997,99.99999999999999,24,-10,-10.0
35,2.5,124.99999999999997,99.99999999999999,24,-10,-10.0
40,2.5,124.99999999999997,99.99999999999999,24,-10,-10.0
45,2.5,124.99999999999997,99.99999999999999,24,-10,-10.0
50,2.5,124.99999999999997,99.99999999999999,24,-10,-10.0
55,2.5,124.99999999999997,99.99999999999999,19,-10,-7.916666666666667
60,2.5,124.99999999999997,99.99999999999999,18,-10,-7.5
65,2.5,124.99999999999997,99.99999999999999,16,-10,-6.666666666666667
70,2.5,124.99999999999997,99.99999999999999,14,-10,-4.166666666666667
75,2.5,124.99999999999997,99.99999999999999,14,-10,-4.166666666666667
80,2.5,124.99999999999997,99.99999999999999,13,-10,-3.75
85,2.5,124.99999999999997,99.99999999999999,11,-10,0.4166666666666667
90,2.5,124.99999999999997,99.99999999999999,11,-10,0.4166666666666667
95,2.5,124.99999999999997,99.99999999999999,9,-10,2.9166666666666665
100,2.5,124.99999999999997,99.99999999999999,9,-10,2.9166666666666665
105,2.5,124.99999999999997,99.99999999999999,8,-10,6.666666666666667
110,2.5,124.99999999999997,99.99999999999999,7,-10,8.75
115,2.5,124.99999999999997,99.99999999999999,7,-10,8.75
120,2.5,124.99999999999997,99.99999999999999,5,-10,18.75
